id,otu_ids,,otu_labels
940,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
941,2722,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Finegoldia"
943,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
944,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
945,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
946,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
947,2419,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
948,728,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales"
949,2419,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
950,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
952,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
953,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
954,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
955,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
956,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
958,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
959,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
960,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
961,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
962,3312,,"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales"
963,728,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales"
964,728,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales"
966,943,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
967,2539,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
968,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
969,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
970,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
971,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
972,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
973,2859,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Peptoniphilus"
974,1870,,"Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae"
975,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
978,2859,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Peptoniphilus"
